UID,title,authors,abstract,keywords,track,paper_type,pdf_url,demo_url
demo.1,Using and comparing Rhetorical Structure Theory parsers with rst-workbench,Arne Neumann,"I present rst-workbench, a software package that simplifies the installation and usage of numerous end-to-end Rhetorical Structure Theory (RST) parsers.  The tool offers a web-based interface that allows users to enter text and let multiple RST parsers generate analyses concurrently. The resulting RST trees can be compared visually, manually post-edited (in the browser) and stored for later usage.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.1,
demo.10,AnswerQuest: A System for Generating Question-Answer Items from Multi-Paragraph Documents,Melissa Roemmele|Deep Sidhpura|Steve DeNeefe|Ling Tsou,"One strategy for facilitating reading comprehension is to present information in a question-and-answer format. We demo a system that integrates the tasks of question answering (QA) and question generation (QG) in order to produce Q&A items that convey the content of multi-paragraph documents. We report some experiments for QA and QG that yield improvements on both tasks, and assess how they interact to produce a list of Q&A items for a text. The demo is accessible at qna.sdl.com.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.6,
demo.11,T-NER: An All-Round Python Library for Transformer-based Named Entity Recognition,Asahi Ushio|Jose Camacho-Collados,"Language model (LM) pretraining has led to consistent improvements in many NLP downstream tasks, including named entity recognition (NER). In this paper, we present T-NER (Transformer-based Named Entity Recognition), a Python library for NER LM finetuning. In addition to its practical utility, T-NER facilitates the study and investigation of the cross-domain and cross-lingual generalization ability of LMs finetuned on NER. Our library also provides a web app where users can get model predictions interactively for arbitrary text, which facilitates qualitative model evaluation for non-expert programmers. We show the potential of the library by compiling nine public NER datasets into a unified format and evaluating the cross-domain and cross- lingual performance across the datasets. The results from our initial experiments show that in-domain performance is generally competitive across datasets. However, cross-domain generalization is challenging even with a large pretrained LM, which has nevertheless capacity to learn domain-specific features if fine- tuned on a combined dataset. To facilitate future research, we also release all our LM checkpoints via the Hugging Face model hub.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.7,
demo.12,Forum 4.0: An Open-Source User Comment Analysis Framework,Marlo Haering|Jakob Smedegaard Andersen|Chris Biemann|Wiebke Loosen|Benjamin Milde|Tim Pietz|Christian Stöcker|Gregor Wiedemann|Olaf Zukunft|Walid Maalej,"With the increasing number of user comments in diverse domains, including comments on online journalism and e-commerce websites, the manual content analysis of these comments becomes time-consuming and challenging. However, research showed that user comments contain useful information for different domain experts, which is thus worth finding and utilizing. This paper introduces Forum 4.0, an open-source framework to semi-automatically analyze, aggregate, and visualize user comments based on labels defined by domain experts. We demonstrate the applicability of Forum 4.0 with comments analytics scenarios within the domains of online journalism and app stores. We outline the underlying container architecture, including the web-based user interface, the machine learning component, and the task manager for time-consuming tasks. We finally conduct machine learning experiments with simulated annotations and different sampling strategies on existing datasets from both domains to evaluate Forum 4.0's performance. Forum 4.0 achieves promising classification results (ROC-AUC ≥ 0.9 with 100 annotated samples), utilizing transformer-based embeddings with a lightweight logistic regression model. We explain how Forum 4.0's architecture is applicable for millions of user comments in real-time, yet at feasible training and classification costs.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.8,
demo.13,SLTEV: Comprehensive Evaluation of Spoken Language Translation,Ebrahim Ansari|Ondřej Bojar|Barry Haddow|Mohammad Mahmoudi,"Automatic evaluation of Machine Translation (MT) quality has been investigated over several decades. Spoken Language Translation (SLT), esp. when simultaneous, needs to consider additional criteria and does not have a standard evaluation procedure and a widely used toolkit. To fill the gap, we develop SLTev, an open-source tool for assessing SLT in a comprehensive way. SLTev reports the quality, latency, and stability of an SLT candidate output based on the time-stamped transcript and reference translation into a target language. For quality, we rely on sacreBLEU which provides MT evaluation measures such as chrF or BLEU. For latency, we propose two new scoring techniques. For stability, we extend the previously defined measures with a normalized Flicker in our work. We also propose a new averaging of older measures. A preliminary version of SLTev was used in the  IWSLT 2020 shared task. Moreover, a growing collection of test datasets directly accessible by SLTev are provided for system evaluation comparable across papers.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.9,
demo.14,Trankit: A Light-Weight Transformer-based Toolkit for Multilingual Natural Language Processing,Minh Van Nguyen|Viet Dac Lai|Amir Pouran Ben Veyseh|Thien Huu Nguyen,"We introduce Trankit, a light-weight Transformer-based Toolkit for multilingual Natural Language Processing (NLP). It provides a trainable pipeline for fundamental NLP tasks over 100 languages, and 90 pretrained pipelines for 56 languages. Built on a state-of-the-art pretrained language model, Trankit significantly outperforms prior multilingual NLP pipelines over sentence segmentation, part-of-speech tagging, morphological feature tagging, and dependency parsing while maintaining competitive performance for tokenization, multi-word token expansion, and lemmatization over 90 Universal Dependencies treebanks. Despite the use of a large pretrained transformer, our toolkit is still efficient in memory usage and speed. This is achieved by our novel plug-and-play mechanism with Adapters where a multilingual pretrained transformer is shared across pipelines for different languages. Our toolkit along with pretrained models and code are publicly available at: https://github.com/nlp-uoregon/trankit. A demo website for our toolkit is also available at: http://nlp.uoregon.edu/trankit. Finally, we create a demo video for Trankit at: https://youtu.be/q0KGP3zGjGc.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.10,
demo.15,DebIE: A Platform for Implicit and Explicit Debiasing of Word Embedding Spaces,Niklas Friedrich|Anne Lauscher|Simone Paolo Ponzetto|Goran Glavaš,"Recent research efforts in NLP have demonstrated that distributional word vector spaces often encode stereotypical human biases, such as racism and sexism. With word representations ubiquitously used in NLP models and pipelines, this raises ethical issues and jeopardizes the fairness of language technologies. While there exists a large body of work on bias measures and debiasing methods, to date, there is no platform that would unify these research efforts and make bias measuring and debiasing of representation spaces widely accessible. In this work, we present DebIE, the first integrated platform for (1) measuring and (2) mitigating bias in word embeddings. Given an (i) embedding space (users can choose between the predefined spaces or upload their own) and (ii) a bias specification (users can choose between existing bias specifications or create their own), DebIE can (1) compute several measures of implicit and explicit bias and modify the embedding space by executing two (mutually composable) debiasing models. DebIE's functionality can be accessed through four different interfaces: (a) a web application, (b) a desktop application, (c) a REST-ful API, and (d) as a command-line application. DebIE is available at: debie.informatik.uni-mannheim.de.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.11,
demo.16,A Dashboard for Mitigating the COVID-19 Misinfodemic,Zhengyuan Zhu|Kevin Meng|Josue Caraballo|Israa Jaradat|Xiao Shi|Zeyu Zhang|Farahnaz Akrami|Haojin Liao|Fatma Arslan|Damian Jimenez|Mohanmmed Samiul Saeef|Paras Pathak|Chengkai Li,"This paper describes the current milestones achieved in our ongoing project that aims to understand the surveillance of, impact of and intervention on COVID-19 misinfodemic on Twitter. Specifically, it introduces a public dashboard which, in addition to displaying case counts in an interactive map and a navigational panel, also provides some unique features not found in other places. Particularly, the dashboard uses a curated catalog of COVID-19 related facts and debunks of misinformation, and it displays the most prevalent information from the catalog among Twitter users in user-selected U.S. geographic regions. The paper explains how to use BERT models to match tweets with the facts and misinformation and to detect their stance towards such information. The paper also discusses the results of preliminary experiments on analyzing the spatio-temporal spread of misinformation.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.12,
demo.18,EasyTurk: A User-Friendly Interface for High-Quality Linguistic Annotation with Amazon Mechanical Turk,Lorenzo Bocchi|Valentino Frasnelli|Alessio Palmero Aprosio,"Amazon Mechanical Turk (AMT) has recently become one of the most popular crowd-sourcing platforms, allowing researchers from all over the world to create linguistic datasets quickly and at a relatively low cost. Amazon provides both a web interface and an API for AMT, but they are not very user-friendly and miss some features that can be useful for NLP researchers. In this paper, we present EasyTurk, a free tool that improves the potential of Amazon Mechanical Turk by adding to it some new features. The tool is free and released under an open source license.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.13,
demo.19,ASAD: Arabic Social media Analytics and unDerstanding,Sabit Hassan|Hamdy Mubarak|Ahmed Abdelali|Kareem Darwish,"This system demonstration paper describes ASAD: Arabic Social media Analysis and unDerstanding, a suite of seven individual modules that allows users to determine dialects, sentiment, news category, offensiveness, hate speech, adult content, and spam in Arabic tweets. The suite is made available through a web API and a web interface where users can enter text or upload files.",,System Demonstrations,demo,https://www.aclweb.org/anthology/2021.eacl-demos.14,
